"Print ISSN";"Online ISSN";"Tidsskrift id";"Original tittel";"Internasjonal tittel"
"1981-5956";"1807-7544";"472386";"City & Time";"City & Time"
"1519-6089";"1984-7289";"472387";"Civitas";"Civitas"
"1814-9340";"1814-9359";"472388";"Climate of the Past";"Climate of the Past"
"1507-5516";;"472391";"Dermatologia Kliniczna";"Clinical Dermatology"
"0891-8929";"1945-4953";"472392";"Clinical Diabetes";"Clinical Diabetes"
"1070-1389";;"472393";"Clinical Geriatrics";"Clinical Geriatrics"
"1539-4182";"1554-6179";"472394";"Clinical Medicine & Research";"Clinical Medicine & Research"
"1178-6450";;"472397";"Clinical Medicine : Case Reports";"Clinical Medicine : Case Reports"
"1634-8699";"1638-5748";"472447";"CORELA";"CORELA"
"1807-5932";"1980-5322";"472402";"Clinics";"Clinics"
"1748-1104";;"472403";"Coaching Psychologist";"Coaching Psychologist"
"1195-4353";;"472405";"The College Quarterly";"The College Quarterly"
"1332-3431";"1848-9613";"472407";"Colloquia Maruliana";"Colloquia Maruliana"
"0121-5612";"1900-6004";"472408";"Colombia Internacional";"Colombia Internacional"
"0120-8322";"1657-9534";"472409";"Colombia Médica";"Colombia Médica"
"0884-2035";"1937-7029";"472410";"Colorado Research in Linguistics (CRIL)";"Colorado Research in Linguistics (CRIL)"
"1932-765X";"1932-7641";"472411";"Columbia Undergraduate Science Journal";"Columbia Undergraduate Science Journal"
"0326-7911";"2250-7728";"472412";"Comechingonia";"Comechingonia"
"0725-3141";"1445-4866";"472414";"Communicable Diseases Intelligence";"Communicable Diseases Intelligence"
"1996-5621";"1996-563X";"472415";"Communicating Astronomy with the Public Journal";"Communicating Astronomy with the Public Journal"
"0953-6833";"1993-7288";"472418";"Community Eye Health Journal";"Community Eye Health Journal"
"1317-6099";"2477-9725";"472420";"Revista Científica Compendium";"Compendium"
"1522-7502";;"472422";"Composition Forum";"Composition Forum"
"1687-5265";"1687-5273";"472423";"Computational Intelligence and Neuroscience";"Computational Intelligence and Neuroscience"
"1358-5363";"2053-7794";"472424";"Computers in Higher Education Economics Review";"Computers in Higher Education Economics Review"
"0379-3974";"1659-3820";"472425";"Revista Comunicación";"Revista Comunicación"
"0188-252X";;"472426";"Comunicación y Sociedad";"Comunicación y Sociedad"
"0037-8607";;"472427";"Comunicaciones de la Sociedad Malacológica del Uruguay";"Comunicaciones de la Sociedad Malacológica del Uruguay"
"1870-3569";;"472429";"Confines de Relaciones Internacionales y Ciencia Política";"Confines de Relaciones Internacionales y Ciencia Política"
"1554-7787";"1554-0499";"472432";"Congenital Cardiology Today";"Congenital Cardiology Today"
"1932-2038";"1932-2046";"472433";"The Connecticut Public Interest Law Journal";"The Connecticut Public Interest Law Journal"
"0186-1042";;"472434";"Contaduría y Administración";"Contaduría y Administración"
"1428-2526";"1897-4309";"472438";"Wspólczesna Onkologia";"Contemporary Oncology"
"2033-5709";"1783-094X";"472439";"COnTEXTES : Revue de sociologie de la littérature";"COnTEXTES : Revue de sociologie de la littérature"
"1315-9453";;"472440";"Contexto";"Contexto"
"0102-8529";"1982-0240";"472441";"Contexto Internacional";"Contexto Internacional"
"1405-1435";;"472444";"Convergencia";"Convergencia"
"1708-489X";;"472702";"First Peoples Child & Family Review";"First Peoples Child & Family Review"
"0100-4158";"1678-4677";"472703";"Fitopatologia Brasileira";"Fitopatologia Brasileira"
"0132-6414";"1816-0328";"472704";"Fizika Nizkih Temperatur";"Fizika Nizkih Temperatur"
"0430-8603";;"472707";"Folia entomologica Mexicana";"Folia entomologica Mexicana"
"0388-0370";;"472710";"Folklore Studies";"Folklore Studies"
"1654-6628";"1654-661X";"472711";"Food & Nutrition Research";"Food & Nutrition Research"
"1578-4576";"1988-2920";"472713";"Foro Interno: Anuario de Teoría Política";"Foro Interno: Anuario de Teoría Política"
"1885-2483";"1885-2491";"472714";"Foro Pediátrico";"Foro Pediátrico"
"1541-8561";;"472716";"Fórum Empresarial";"Fórum Empresarial"
"0187-7372";;"472722";"Frontera Norte";"Frontera Norte"
"1515-4467";"1668-7116";"472725";"Fundamentos en Humanidades";"Fundamentos en Humanidades"
"1315-8597";;"472726";"Gaceta Laboral";"Gaceta Laboral"
"0367-4762";;"472727";"Gaceta Médica de Caracas";"Gaceta Médica de Caracas"
"0016-3813";;"472728";"Gaceta Médica de México";"Gaceta Médica de México"
"1109-7655";"1109-7647";"472729";"Gastric & Breast Cancer";"Gastric & Breast Cancer"
"1687-6121";"1687-630X";"472730";"Gastroenterology Research and Practice";"Gastroenterology Research and Practice"
"0717-652X";"0717-6538";"472732";"Gayana";"Gayana"
"0016-5301";"0717-6643";"472733";"Gayana. Botanica";"Gayana. Botanica"
"0214-7564";"2340-2792";"472734";"Gazeta de Antropología";"Gazeta de Antropología"
"1675-8021";;"472736";"GEMA Online Journal of Language Studies";"GEMA Online Journal of Language Studies"
"1682-3265";"1682-3273";"472737";"Gendernye issledovaniâ";"Gendernye Issledovaniya / Gender Studies"
"1301-191X";;"472740";"Genel Tip Dergisi";"Genel Tip Dergisi"
"1312-8183";"1312-8221";"472741";"General and Applied Plant Physiology";"General and Applied Plant Physiology"
"1733-8387";"1897-1695";"472743";"Geochronometria";"Geochronometria"
"0351-0271";"1581-1328";"472744";"Geodetski vestnik";"Geodetski vestnik"
"0016-7169";;"472745";"Geofísica Internacional";"Geofísica Internacional"
"0352-3659";"1846-6346";"472746";"Geofizika";"Geofizika"
"1583-1523";"2067-4635";"472748";"Forum geografic. Geographical studies and environment protection research";"Forum Geografic. Studii si cercetari de geografie si protectia mediului"
"1330-030X";"1333-4875";"472749";"Geologia Croatica";"Geologia Croatica"
"1695-6133";"1696-5728";"472750";"Geologica Acta";"Geologica Acta"
"1811-4598";"1604-8156";"472751";"Geological Survey of Denmark and Greenland Bulletin";"Geological Survey of Denmark and Greenland Bulletin"
"1134-928X";"1578-164X";"472755";"Gerokomos";"Gerokomos"
"0104-530X";"1806-9649";"472756";"Gestão & Produção";"Gestão & Produção"
"1128-7462";"1591-7398";"472758";"Global Bioethics";"Global Bioethics"
"1450-4154";;"472760";"Global Media Journal : Mediterranean Edition";"Global Media Journal : Mediterranean Edition"
"1980-2226";"1808-558X";"472761";"Global Tourism";"Global Tourism"
"1860-7446";"1860-3572";"472768";"GMS Zeitschrift für Medizinische Ausbildung";"GMS Zeitschrift für Medizinische Ausbildung"
"0025-7729";"1848-1868";"472819";"Medicina";"Medicina"
"1819-7973";"1997-2067";"472769";"Gomal journal of Medical Sciences";"Gomal journal of Medical Sciences"
"0350-350X";"1848-9583";"472770";"Goriva i Maziva";"Goriva i Maziva"
"1565-043X";"1565-5334";"472773";"Hadashot Arkheologiyot";"Excavations and Surveys in Israel"
"1728-6107";"2073-0683";"472778";"Health Policy and Development";"Health Policy and Development"
"1465-1645";"2040-1574";"472779";"Health Statistics Quarterly";"Health Statistics Quarterly"
"1011-7970";;"472781";"The Hellenic Journal of Cardiology";"The Hellenic Journal of Cardiology"
"1108-1279";"2241-5920";"472783";"Hellenic Orthodontic Review";"Hellenic Orthodontic Review"
"1520-4391";"1520-4383";"472784";"Hematology ASH Education Program";"Hematology ASH Education Program"
"0972-9747";"1998-3573";"472785";"Hepatitis B Annual";"Hepatitis B Annual"
"1735-143X";"1735-3408";"472786";"Hepatitis Monthly";"Hepatitis Monthly"
"1660-5403";"1660-5578";"472788";"Hermeneutische Blätter";"Hermeneutische Blätter"
"0046-7316";"1574-4078";"472790";"Heron";"Heron"
"2151-0733";"1931-7603";"472791";"Herpetological Conservation and Biology";"Herpetological Conservation and Biology"
"1556-5424";"1556-5750";"472792";"Higher Education in Review";"Higher Education in Review"
"1710-1530";;"472793";"Higher Education Perspectives";"Higher Education Perspectives"
"0018-2079";;"472797";"Hiroshima Mathematical Journal";"Hiroshima Mathematical Journal"
"0101-9074";"1980-4369";"472798";"História";"História"
"0073-2435";"0717-7194";"472799";"Historia";"Historia"
"1300-0101";;"474287";"Turkish Journal of Physics";"Turkish Journal of Physics"
"0121-1617";;"472802";"Historia Crítica";"Historia Crítica"
"1137-0734";"1988-3056";"472803";"Historia y Comunicación Social";"Historia y Comunicación Social"
"1611-9509";;"472804";"Historische Literatur";"Historische Literatur"
"1612-5940";;"472805";"Historisches Forum";"Historisches Forum"
"1024-2708";"2226-8707";"472811";"Hong Kong Medical Journal";"Hong Kong Medical Journal"
"1487-7090";"1493-6704";"472812";"Horizons";"Horizons"
"0104-7183";"1806-9983";"472813";"Horizontes Antropológicos";"Horizontes Antropológicos"
"0102-0536";"1806-9991";"472814";"Horticultura Brasileira";"Horticultura Brasileira"
"1812-2108";;"472817";"Hydrology and Earth System Sciences Discussions";"Hydrology and Earth System Sciences Discussions"
"1610-6261";"1610-6253";"472820";"IABLIS. Jahrbuch für europäische Prozesse";"IABLIS. Jahrbuch für europäische Prozesse"
"1992-9978";"1992-9986";"472821";"IAENG International Journal of Applied Mathematics";"IAENG International Journal of Applied Mathematics"
"1819-656X";"1819-9224";"472822";"IAENG International Journal of Computer Science";"IAENG International Journal of Computer Science"
"0739-1137";"2331-4141";"472825";"IASSIST Quarterly";"IASSIST Quarterly"
"1139-7241";"2340-2784";"472826";"Ibérica";"Ibérica"
"0377-4910";;"472828";"ICMR Bulletin";"ICMR Bulletin"
"1390-1249";"1390-8065";"472829";"ÍCONOS, Revista de Ciencias Sociales";"ÍCONOS, Revista de Ciencias Sociales"
"0120-0062";"2011-3668";"472832";"Ideas y Valores";"Ideas y Valores"
"0394-3054";"1591-0733";"472833";"Idee";"Idee"
"0073-4675";"0718-3429";"472834";"IDESIA";"IDESIA"
"1698-6180";"1886-7995";"473206";"Journal of Iberian Geology";"Journal of Iberian Geology"
"0973-1342";;"473207";"Journal of Indian Association for Child and Adolescent Mental Health";"Journal of Indian Association for Child and Adolescent Mental Health"
"0971-9261";"1998-3891";"473208";"Journal of Indian Association of Pediatric Surgeons";"Journal of Indian Association of Pediatric Surgeons"
"0972-4052";"1998-4057";"473209";"Journal of Indian Prosthodontic Society";"Journal of Indian Prosthodontic Society"
"2036-6590";"1972-2680";"473210";"Journal of Infection in Developing Countries";"Journal of Infection in Developing Countries"
"1809-2640";"1807-1775";"473212";"Journal of Information Systems and Technology Management";"Journal of Information Systems and Technology Management"
"1675-6061";;"473213";"Journal of Institutional Research (South-East Asia)";"Journal of Institutional Research (South-East Asia)"
"1307-0401";;"473215";"Journal of Interdisciplinary Music Studies";"Journal of Interdisciplinary Music Studies"
"1204-5357";;"473217";"Journal of Internet Banking and Commerce";"Journal of Internet Banking and Commerce"
"1027-7595";"1735-854X";"473218";"Journal of Isfahan Medical School";"Journal of Isfahan Medical School"
"1832-8342";;"473222";"Journal of Learning Design";"Journal of Learning Design"
"0387-8805";"1349-8398";"473223";"Journal of Light & Visual Environment";"Journal of Light & Visual Environment"
"1735-9260";"1735-9279";"473227";"Journal of Mazandaran University of Medical Sciences";"Journal of Mazandaran University of Medical Sciences"
"1343-1420";"1349-6867";"473228";"Journal of Medical Investigation";"Journal of Medical Investigation"
"0971-6203";"1998-3913";"473229";"Journal of Medical Physics";"Journal of Medical Physics"
"1682-4474";"1812-5727";"473230";"Journal of Medical Sciences";"Journal of Medical Sciences"
"1596-6941";;"473232";"Journal of Medicine and Biomedical Research";"Journal of Medicine and Biomedical Research"
"0972-9941";"1998-3921";"473234";"Journal of Minimal Access Surgery";"Journal of Minimal Access Surgery"
"1304-8015";;"473235";"Journal of Modern Turkish Studies";"Journal of Modern Turkish Studies"
"0028-2715";"1815-672X";"473240";"Journal of Nepal Medical Association";"Journal of Nepal Medical Association"
"1300-1817";;"473242";"Journal of Neurological Sciences";"Journal of Neurological Sciences"
"1345-4676";"1347-3409";"473243";"Journal of Nippon Medical School";"Journal of Nippon Medical School"
"0250-6408";"1813-1859";"473244";"Journal of Northwest Atlantic Fishery Science";"Journal of Northwest Atlantic Fishery Science"
"1687-420X";"2090-3243";"473245";"Journal of Nuclear and Radiation Physics";"Journal of Nuclear and Radiation Physics"
"1345-4749";;"473246";"Journal of Nuclear and Radiochemical Sciences";"Journal of Nuclear and Radiochemical Sciences"
"0973-029X";"1998-393X";"473250";"Journal of Oral and Maxillofacial Pathology";"Journal of Oral and Maxillofacial Pathology"
"1343-4934";"1880-4926";"473251";"Journal of Oral Science";"Journal of Oral Science"
"0393-5965";"1573-3025";"475986";"Aerobiologia";"Aerobiologia"
"1726-8710";"2224-8897";"473254";"Journal of Pakistan Psychiatric Society";"Journal of Pakistan Psychiatric Society"
"0888-6601";"1942-6569";"473255";"Journal of Pan African Studies";"Journal of Pan African Studies"
"1817-1745";"1998-3948";"473256";"Journal of Pediatric Neurosciences";"Journal of Pediatric Neurosciences"
"0918-7928";;"473259";"Journal of Plasma and Fusion Research";"Journal of Plasma and Fusion Research"
"1443-2447";"1835-9469";"473260";"Journal of Population Research";"Journal of Population Research"
"1346-7395";"1349-0486";"473261";"The Journal of Poultry Science";"The Journal of Poultry Science"
"1444-6359";;"473266";"Journal of Research for Consumers";"Journal of Research for Consumers"
"1735-1995";"1735-7136";"473267";"Journal of Research in Medical Sciences";"Journal of Research in Medical Sciences"
"0973-3094";;"473270";"Journal of SAT Agricultural Research";"Journal of SAT Agricultural Research"
"1028-7655";;"473272";"Journal of Science and Technology of Agriculture and Natural Resources";"Journal of Science and Technology of Agriculture and Natural Resources"
"1687-725X";"1687-7268";"473274";"Journal of Sensors";"Journal of Sensors"
"0916-8737";"1884-8796";"473275";"Journal of Smooth Muscle Research";"Journal of Smooth Muscle Research"
"1549-3652";"1558-6987";"473276";"Journal of Social Sciences (New York, N.Y.)";"Journal of Social Sciences (New York, N.Y.)"
"0971-8923";;"473277";"Journal of Social Sciences";"Journal of Social Sciences"
"1557-5276";;"473281";"Journal of STEM Education : Innovations and Research";"Journal of STEM Education : Innovations and Research"
"1492-1154";"1911-8279";"473283";"Journal of Teaching and Learning";"Journal of Teaching and Learning"
"1735-5370";;"473286";"Journal of Tehran Heart Center";"Journal of Tehran Heart Center"
"1735-8620";"2008-2371";"473287";"Journal of Tehran University Heart Center";"Journal of Tehran University Heart Center"
"1302-7050";;"473288";"Journal of Tekirdag Agricultural Faculty";"Journal of Tekirdag Agricultural Faculty"
